"GeoUID","Type","Region.Name","Area..sq.km.","Population","Dwellings","Households","CD_UID","PR_UID","CMA_UID","English_Speakers","French_Speakers","Median_Before_Tax","Median_After_Tax","FTime_FYear_Workers","Avg_Weeks_Worked"
"1001113","CSD","Trepassey (T)",54.213,405,299,224,"1001","10","",405,0,27800,27000,55,31.8
"1001124","CSD","Division No.  1, Subd. U (SNO)",742.3781,1373,1320,628,"1001","10","",1375,0,35600,31000,275,36.4
"1001126","CSD","Cape Broyle (T)",10.0893,499,314,228,"1001","10","",500,0,35600,32400,130,30.9
"1001131","CSD","Renews-Cappahayden (T)",125.9269,280,259,143,"1001","10","",275,0,29000,26400,25,22.7
"1001136","CSD","Fermeuse (T)",38.3341,266,171,126,"1001","10","",255,0,31600,29800,35,32
"1001149","CSD","Ferryland (T)",13.2186,371,252,191,"1001","10","",375,0,34000,30200,45,28.4
"1001155","CSD","Division No.  1, Subd. W (SNO)",821.9715,469,802,243,"1001","10","",460,0,28800,28200,65,28.2
"1001169","CSD","St. Vincent's-St. Stephen's-Peter's River (T)",86.6198,263,207,142,"1001","10","",265,0,25000,24800,25,29.2
"1001178","CSD","St. Mary's (T)",36.4069,313,202,158,"1001","10","",310,0,30800,30200,20,22.6
"1001197","CSD","Mount Carmel-Mitchells Brook-St. Catherine's (T)",60.7612,382,385,203,"1001","10","",380,0,29800,29000,90,36.6
"1001203","CSD","Division No.  1, Subd. X (SNO)",567.6216,541,738,260,"1001","10","",540,0,32800,30600,125,36
"1001228","CSD","St. Bride's (T)",5.3782,318,204,166,"1001","10","",315,0,31200,27600,25,20.4
"1001234","CSD","Division No.  1, Subd. B (SNO)",454.3362,356,383,182,"1001","10","",355,0,32400,30400,90,35.8
"1001240","CSD","Placentia (T)",57.8019,3289,1827,1543,"1001","10","",3170,5,30600,28800,625,37.3
"1001259","CSD","Division No.  1, Subd. A (SNO)",772.3753,653,562,324,"1001","10","",650,0,30200,27200,90,33.2
"1001267","CSD","Southern Harbour (T)",5.3919,313,209,152,"1001","10","",315,0,25400,24800,40,25.2
"1001270","CSD","Arnold's Cove (T)",5.2462,964,547,434,"1001","10","",955,0,33600,30800,130,31.7
"1001277","CSD","Sunnyside (T)",39.0221,407,271,189,"1001","10","",405,0,25600,24400,55,27.8
"1001285","CSD","Norman's Cove-Long Cove (T)",20.1455,647,342,291,"1001","10","",645,0,26600,25400,115,35.2
"1001289","CSD","Chapel Arm (T)",28.0771,446,241,204,"1001","10","",445,0,31800,30400,70,34.8
"1001293","CSD","Division No.  1, Subd. Y (SNO)",190.7606,1211,951,534,"1001","10","",1205,0,30000,28400,280,39.4
"1001298","CSD","Whitbourne (T)",21.5122,955,584,419,"1001","10","",945,0,28200,26200,205,37.7
