team_id,player_id,game_pk,batting_order,plate_appearances,total_bases,caught_stealing,stolen_bases,stolen_base_percentage,pickoffs,summary,fly_outs,ground_outs,air_outs,runs,doubles,triples,home_runs,strike_outs,base_on_balls,intentional_walks,hits,hit_by_pitch,at_bats,ground_into_double_play,ground_into_triple_play,rbi,left_on_base,sac_bunts,sac_flies,catchers_interference,at_bats_per_home_run
108,543685,747060,1,4,0,0,0,.---,0,0-4 | 2 K,1,1,1,0,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,-.--
108,543305,747060,2,4,0,0,0,.---,0,"0-3 | BB, 2 K",0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,-.--
108,545361,747060,3,3,4,0,0,.---,0,"1-3 | HR, K, RBI",0,0,1,1,0,0,1,1,0,0,1,0,3,0,0,1,1,0,0,0,3
108,621493,747060,4,4,0,0,0,.---,0,0-4 | 2 K,0,1,1,0,0,0,0,2,0,0,0,0,4,1,0,0,1,0,0,0,-.--
108,592273,747060,5,2,0,0,0,.---,0,0-2 | K,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,-.--
108,694384,747060,6,3,0,0,0,.---,0,"0-2 | BB, K, R",1,0,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,-.--
108,593934,747060,7,2,0,0,0,.---,0,0-2 | 2 K,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,-.--
108,681351,747060,8,3,0,0,0,.---,0,0-2 | BB,1,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,-.--
108,687263,747060,9,3,0,0,0,.---,0,"0-3 | 2 K, RBI",0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,1,1,0,0,0,-.--
110,683002,747060,1,5,1,0,0,.---,0,"1-4 | BB, K, R",0,1,1,1,0,0,0,1,1,0,1,0,4,0,0,0,4,0,0,0,-.--
110,668939,747060,2,5,2,0,0,.---,0,"2-4 | BB, 2 RBI, 3 R",1,1,1,3,0,0,0,0,1,0,2,0,4,0,0,2,2,0,0,0,-.--
110,663624,747060,3,5,1,0,0,.---,0,"1-3 | BB, K, RBI",1,1,1,0,0,0,0,1,1,0,1,0,3,0,0,1,1,0,1,0,-.--
110,623993,747060,4,5,4,0,0,.---,0,"1-4 | HR, 4 RBI, R",2,1,3,1,0,0,1,0,0,0,1,0,4,0,0,4,3,0,1,0,4
110,669720,747060,5,5,1,0,0,.---,0,"1-4 | BB, 2 K, R",0,0,1,1,0,0,0,2,1,0,1,0,4,0,0,0,2,0,0,0,-.--
110,676059,747060,6,3,1,0,0,.---,0,1-3 | RBI,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,1,2,0,0,0,-.--
110,656775,747060,7,4,4,0,0,.---,0,"1-4 | HR, 3 RBI, R",1,1,2,1,0,0,1,0,0,0,1,0,4,0,0,3,2,0,0,0,4
110,602104,747060,8,4,0,0,0,.---,0,"0-3 | BB, R",0,3,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,-.--
