AmpmEst,Comments,Reacts,Impressions,Members,Hashtags,Prompt,Picture,DOW
pm,0,16,876,410,Intermixed,No,No,Fri
pm,2,7,835,396,End,Yes,No,Mon
am,1,7,801,405,End,No,No,Wed
am,0,4,583,318,End,No,No,Wed
pm,11,16,4718,2829,End,Yes,Yes,Fri
pm,0,11,765,376,End,Yes,No,Mon
pm,0,5,513,265,End,No,No,Wed
am,0,9,391,202,End,No,No,Fri
pm,4,8,481,242,Intermixed,Yes,No,Mon
pm,0,15,686,344,Intermixed,No,No,Wed
pm,7,15,1520,899,Intermixed,No,No,Fri
am,0,3,309,160,End,Yes,No,Mon
am,2,13,1005,588,Intermixed,Yes,No,Wed
pm,0,1,346,169,End,Yes,No,Fri
am,3,7,881,466,End,Yes,No,Mon
pm,0,1,338,155,End,Yes,No,Wed
am,0,3,355,195,End,No,No,Fri
pm,0,15,1180,781,Intermixed,No,No,Mon
pm,5,6,474,246,Intermixed,Yes,No,Wed
am,1,3,376,206,Intermixed,Yes,No,Fri
am,5,7,946,518,Intermixed,No,No,Mon
am,2,6,621,297,Intermixed,No,No,Wed
am,0,3,388,223,Intermixed,No,No,Fri
am,0,7,677,448,Intermixed,No,No,Mon
